,title,price,hour1,volume24,marketcap
92,ZCN,0.0125,3.53,"131,125124,381 AVT",6.36
93,AVT,0.003253,0.49,"308,398129,391,684 MCRT",6.33
94,MCRT,0.1854,3.52,"389,489127,637 ORAI",6.24
95,ORAI,0.1314,0.06,"13,4954,733,473 KAT",6.24
96,KAT,1.05,0.71,"138,17385,537 XOR",6.23
97,XOR,0.002383,0.25,"878,660323,563 ASR",6.2
98,ASR,3.05,0.05,"2,8275,713 RGT",6.18
99,RGT,0.002851,32.34,"242,869365,961,892 BAAS",6.17
100,BAAS,1.62,2.80,"111,415752,290 LTX",4.25
101,LTX,2.72,0.58,"45,329813,661 NAV",4.24
102,NAV,0.4948,0.07,"2,246,6012,121,134,101 SWFTC",4.24
103,SWFTC,0.0006636,1.95,"73,4594,300,112 DCB",4.24
104,DCB,0.1481,6.54,"3,145,98397,817,158 BTR",4.24
105,BTR,0.05571,0.29,"108,22210,631,634 GMEE",4.23
106,GMEE,0.001059,1.36,"255,3264,964,164 UNO",4.22
107,UNO,0.01708,0.05,"2,561611,818 IPAD",4.2
108,IPAD,0.03216,2.87,"59,3283,037,159 MAN",4.19
109,MAN,0.01018,0.08,"19,86017,401 NSBT",4.19
110,NSBT,0.05143,0.89,"83,53710,199,952 XFC",3.08
111,XFC,0.004186,14.77,"67343,853 TEN",3.07
112,TEN,0.01953,0.17,"726,93388,580,062 DIO",3.07
113,DIO,1.14,0.54,"52,2232,025,329 XEND",3.06
114,XEND,0.00819,0.55,"34,48465,478,597 SHX",3.05
115,SHX,0.01534,6.50,"20,82126,524 LAND",3.05
116,LAND,0.008207,22.72,"620,92513,273,889 PBR",3.05
117,PBR,0.02578,0.11,"83,0121,236,536 HC",3.05
118,HC,0.0005266,1.26,"383,19723,964,815 OLE",3.03
119,OLE,0.785,10.27,"31,4701,121,988,360,771 TIFI",3.02
120,TIFI,0.04678,3.34,"23,4051,939,747 GAME",2.2
121,GAME,0.06713,0.00,"49,7172,978,542 GST",2.18
122,GST,0.01599,6.10,"72,217257,438 CDT",2.18
123,CDT,0.0...02805,0.29,"168,9042,550,851 SMT",2.17
124,SMT,0.0...02805,2.34,"2,439112,390 SHOP",2.17
125,SHOP,0.01207,0.29,"13,7761,304,703 PAY",2.17
126,PAY,0.01669,0.29,"20,1533,316,556 GFI",2.17
127,GST,0.2805,1.13,"40,93187,786 MENGO",2.17
128,GFI,0.06621,0.73,"128,5184,064,196 XTN",2.14
129,MENGO,0.0217,1.16,"13,35040,680,169 GMB",2.14
130,XTN,0.01056,28.18,"143,341165,743,147 UNB",1.64
131,GMB,0.05299,0.38,"44,88521,480,733 MIR",1.64
132,EMC,0.006076,0.24,"340,72364,776,557 REAP",1.63
133,UNB,0.4663,0.22,"12614,193 BIR",1.63
134,MIR,0.03162,0.10,"610,394187,977,097 INT",1.63
135,REAP,0.0003282,2.42,"57,79648,989,796 TCT",1.62
136,GHOST,0.0321,0.28,"238,881139,967,554 DREAMS",1.6
137,BIR,0.0008648,0.03,"60,2024,063,068 BBS",1.58
138,INT,0.00209,20.17,"234,818154,644 IBFK",1.58
139,LEVL,0.00526,8.07,"72,17811,696,082 DRM",1.57
140,EDG,0.2961,0.92,"343,54268,012,390 WELT",1.18
